Timestamp,Score,Koliko godina imate?,Spol?,Koji je vaš trenutni status zaposlenja?,Stepen obrazovanja?,Koliko je važno za vas članstvo Bosne i Hercegovine u Europskoj uniji?,Koliko ste upoznati s procesom pridruživanja Bosne i Hercegovine Europskoj uniji?,Koliko biste ocijenili trenutnu razinu podrške stanovništva Bosne i Hercegovine za članstvo u Europskoj uniji?,Koliko ste zadovoljni trenutnom razinom transparentnosti i odgovornosti vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji?,Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu života građana Bosne i Hercegovine?,"Na skali od 1 do 5, koliko ste optimistični u vezi s budućnošću Bosne i Hercegovine kao članice Europske unije?",Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati ekonomsku situaciju?,"Na skali od 1 do 5, koliko ste zadovoljni dosadašnjim napretkom Bosne i Hercegovine u procesu pridruživanja Europskoj uniji?",Koliko često pratite vijesti ili informacije o procesu pridruživanja Bosne i Hercegovine Europskoj uniji?,Koliko smatrate da je trenutna politička situacija u Bosni i Hercegovini povoljna za proces pridruživanja Europskoj uniji?,Vjerujete li da će članstvo u Europskoj uniji donijeti većoj stabilnosti i sigurnosti Bosni i Hercegovini?,Kako biste ocijenili dosadašnju razinu političke volje i angažmana vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji?,Koliko vjerujete da će članstvo u Europskoj uniji unaprijediti političku stabilnost u Bosni i Hercegovini?,Koliko je važno za vas da Bosna i Hercegovina postane članica Europske unije u sljedećih 5 godina?,Smatrate li da će članstvo u Europskoj uniji utjecati na nacionalni identitet Bosne i Hercegovine?,Koliko smatrate da su građani Bosne i Hercegovine informisani o procesu pridruživanja Europskoj uniji?,Koliko smatrate da će članstvo u Europskoj uniji utjecati na otvaranje novih radnih mjesta u Bosni i Hercegovini?,"Na skali od 1 do 5, koliko vjerujete da su trenutni politički lideri sposobni provesti reforme potrebne za članstvo Bosne i Hercegovine u Europskoj uniji?","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu javnih usluga (zdravstvo, obrazovanje, javna infrastruktura) u Bosni i Hercegovini?",Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati sudsku situaciju u zemlji?,Da li ste za to da se Bosna i Hercegovina pridruži Europskoj Uniji?
31/05/2024 23:48:47,,18-24,Muško,Student,Srednja škola,Prilično važno,4,3,1,4,3,3,5,Jednom sedmično,3,Potpuno vjerujem,Umjerena,Potpuno vjerujem,Ni važno ni nevažno,Značajno će ga promijeniti,2,Donekle će povećati broj radnih mjesta,4,Značajno će poboljšati,Značajno poboljšati,DA
31/05/2024 23:51:09,,18-24,Muško,Student,Srednja škola,Malo važno,2,3,3,3,2,3,2,Gotovo nikad,2,Neutralan(a),Visoka,Djelomično vjerujem,Malo važno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,1,Donekle će poboljšati,Blago poboljšati,NE
31/05/2024 23:53:03,,18-24,Žensko,Student,Srednja škola,Vrlo važno,5,2,4,5,3,4,4,Jednom sedmično,3,Potpuno vjerujem,Visoka,Djelomično vjerujem,Vrlo važno,Neće imati utjecaja,2,Donekle će povećati broj radnih mjesta,3,Značajno će poboljšati,Blago poboljšati,DA
31/05/2024 23:57:46,,18-24,Muško,Student,Srednja škola,Vrlo važno,5,2,4,5,4,5,4,Svaki dan,5,Potpuno vjerujem,Vrlo visoka,Djelomično vjerujem,Vrlo važno,Značajno će ga očuvati,4,Značajno će povećati broj radnih mjesta,4,Značajno će poboljšati,Značajno poboljšati,DA
31/05/2024 23:58:18,,18-24,Žensko,Student,Srednja škola,Ni važno ni nevažno,3,3,2,2,3,4,2,Rijetko,1,Djelomično ne vjerujem,Vrlo niska,Uopće ne vjerujem,Ni važno ni nevažno,Donekle će ga promijeniti,3,Neće imati utjecaja,1,Neće imati utjecaja,Neće utjecati,DA
01/06/2024 00:05:30,,18-24,Žensko,Student,Srednja škola,Prilično važno,4,2,2,4,4,5,2,Rijetko,2,Potpuno vjerujem,Umjerena,Potpuno vjerujem,Ni važno ni nevažno,Donekle će ga promijeniti,3,Značajno će povećati broj radnih mjesta,1,Značajno će poboljšati,Značajno poboljšati,DA
01/06/2024 00:22:08,,18-24,Muško,Student,Srednja škola,Ni važno ni nevažno,2,2,3,3,3,4,3,Rijetko,2,Neutralan(a),Visoka,Djelomično ne vjerujem,Malo važno,Neće imati utjecaja,3,Neće imati utjecaja,2,Donekle će pogoršati,Blago poboljšati,DA
01/06/2024 00:23:21,,18-24,Žensko,Student,Srednja škola,Malo važno,4,2,1,3,1,1,1,Rijetko,1,Djelomično vjerujem,Niska,Djelomično vjerujem,Ni važno ni nevažno,Donekle će ga promijeniti,4,Donekle će povećati broj radnih mjesta,1,Donekle će poboljšati,Značajno poboljšati,DA
01/06/2024 00:29:08,,18-24,Žensko,Student,Viša škola/Fakultet,Prilično važno,2,2,2,3,2,3,1,Rijetko,2,Djelomično vjerujem,Vrlo niska,Djelomično vjerujem,Prilično važno,Donekle će ga očuvati,1,Značajno će povećati broj radnih mjesta,1,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 00:42:23,,18-24,Žensko,Student,Srednja škola,Prilično važno,2,1,1,3,5,4,2,Rijetko,2,Djelomično vjerujem,Umjerena,Neutralan(a),Ni važno ni nevažno,Donekle će ga očuvati,3,Neće imati utjecaja,1,Neće imati utjecaja,Značajno poboljšati,DA
01/06/2024 08:41:18,,25-34,Muško,Student,Master,Prilično važno,4,3,2,4,4,5,3,Jednom sedmično,1,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Prilično važno,Donekle će ga promijeniti,2,Donekle će povećati broj radnih mjesta,3,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 09:06:26,,18-24,Žensko,Student,Srednja škola,Prilično važno,3,2,3,4,4,4,3,Gotovo nikad,3,Neutralan(a),Umjerena,Djelomično vjerujem,Prilično važno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,3,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 10:47:51,,18-24,Žensko,Student,Viša škola/Fakultet,Ni važno ni nevažno,2,3,1,2,3,2,3,Rijetko,1,Neutralan(a),Niska,Neutralan(a),Ni važno ni nevažno,Donekle će ga promijeniti,1,Donekle će povećati broj radnih mjesta,1,Neće imati utjecaja,Neće utjecati,NE
01/06/2024 13:33:12,,18-24,Muško,Student,Srednja škola,Prilično važno,3,3,3,5,4,5,3,Jednom sedmično,3,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Ni važno ni nevažno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,3,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 14:13:33,,18-24,Žensko,Student,Srednja škola,Prilično važno,3,3,3,4,3,4,3,Rijetko,3,Neutralan(a),Umjerena,Neutralan(a),Prilično važno,Donekle će ga očuvati,3,Donekle će povećati broj radnih mjesta,3,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 14:14:11,,18-24,Žensko,Student,Srednja škola,Ni važno ni nevažno,1,3,3,5,4,5,3,Rijetko,3,Potpuno vjerujem,Umjerena,Djelomično vjerujem,Ni važno ni nevažno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,3,Značajno će poboljšati,Značajno poboljšati,DA
01/06/2024 14:19:31,,18-24,Žensko,Student,Srednja škola,Vrlo važno,1,1,1,2,2,1,2,Gotovo nikad,1,Neutralan(a),Vrlo visoka,Neutralan(a),Ni važno ni nevažno,Značajno će ga promijeniti,2,Donekle će povećati broj radnih mjesta,1,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 14:22:03,,35-44,Muško,Samozaposlen(a),Master,Vrlo važno,3,3,2,4,4,4,2,Rijetko,2,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Prilično važno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,2,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 14:23:35,,18-24,Muško,Student,Srednja škola,Vrlo važno,4,4,3,5,5,4,3,Rijetko,3,Djelomično vjerujem,Visoka,Djelomično vjerujem,Vrlo važno,Neće imati utjecaja,3,Donekle će povećati broj radnih mjesta,3,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 14:24:54,,18-24,Žensko,Drugo,Srednja škola,Vrlo važno,5,4,4,4,4,4,3,Jednom sedmično,3,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Vrlo važno,Donekle će ga očuvati,3,Donekle će povećati broj radnih mjesta,3,Donekle će poboljšati,Značajno poboljšati,DA
01/06/2024 14:27:32,,18-24,Muško,Zaposlen(a) na pola radnog vremena,Srednja škola,Prilično važno,3,5,3,3,5,5,5,Rijetko,3,Potpuno vjerujem,Umjerena,Potpuno vjerujem,Vrlo važno,Donekle će ga promijeniti,2,Značajno će povećati broj radnih mjesta,3,Značajno će poboljšati,Značajno poboljšati,DA
01/06/2024 14:29:56,,18-24,Muško,Nezaposlen(a),Srednja škola,Prilično važno,2,2,2,3,3,3,2,Nekoliko puta sedmično,2,Djelomično vjerujem,Umjerena,Neutralan(a),Ni važno ni nevažno,Donekle će ga promijeniti,2,Donekle će povećati broj radnih mjesta,2,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 14:30:47,,18-24,Muško,Drugo,Srednja škola,Ni važno ni nevažno,4,4,2,3,3,2,2,Rijetko,2,Neutralan(a),Umjerena,Neutralan(a),Ni važno ni nevažno,Donekle će ga promijeniti,4,Donekle će povećati broj radnih mjesta,2,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 14:33:37,,18-24,Žensko,Student,Srednja škola,Vrlo važno,1,5,3,5,5,5,3,Rijetko,1,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Prilično važno,Značajno će ga očuvati,2,Donekle će povećati broj radnih mjesta,2,Značajno će poboljšati,Blago poboljšati,DA
01/06/2024 14:37:35,,18-24,Muško,Student,Srednja škola,Nimalo važno,3,3,3,3,1,3,2,Gotovo nikad,1,Neutralan(a),Umjerena,Neutralan(a),Malo važno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,3,Neće imati utjecaja,Neće utjecati,NE
01/06/2024 14:46:43,,18-24,Žensko,Nezaposlen(a),Srednja škola,Prilično važno,2,4,1,4,5,5,3,Gotovo nikad,3,Neutralan(a),Umjerena,Neutralan(a),Ni važno ni nevažno,Neće imati utjecaja,3,Neće imati utjecaja,3,Neće imati utjecaja,Neće utjecati,DA
01/06/2024 15:26:45,,25-34,Muško,Zaposlen(a) na puno radno vrijeme,Srednja škola,Vrlo važno,1,5,2,3,3,3,3,Rijetko,4,Djelomično vjerujem,Umjerena,Djelomično vjerujem,Prilično važno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,1,Značajno će poboljšati,Blago poboljšati,DA
01/06/2024 15:26:48,,65+,Ne želim odgovoriti,Samozaposlen(a),Doktorat,Vrlo važno,3,5,5,5,3,3,2,Jednom sedmično,5,Neutralan(a),Umjerena,Djelomično ne vjerujem,Vrlo važno,Donekle će ga očuvati,4,Značajno će povećati broj radnih mjesta,3,Donekle će poboljšati,Značajno poboljšati,DA
01/06/2024 16:40:28,,18-24,Muško,Student,Srednja škola,Prilično važno,5,4,2,4,1,3,1,Nekoliko puta sedmično,4,Uopće ne vjerujem,Vrlo niska,Djelomično vjerujem,Nimalo važno,Donekle će ga promijeniti,2,Donekle će povećati broj radnih mjesta,1,Donekle će poboljšati,Značajno poboljšati,NE
01/06/2024 18:30:07,,18-24,Žensko,Student,Viša škola/Fakultet,Vrlo važno,3,4,1,5,4,5,1,Jednom sedmično,2,Potpuno vjerujem,Niska,Djelomično vjerujem,Vrlo važno,Donekle će ga promijeniti,3,Donekle će povećati broj radnih mjesta,1,Donekle će poboljšati,Blago poboljšati,DA
01/06/2024 20:24:17,,18-24,Žensko,Student,Viša škola/Fakultet,Prilično važno,2,3,3,3,3,4,3,Rijetko,2,Neutralan(a),Umjerena,Djelomično vjerujem,Prilično važno,Neće imati utjecaja,3,Značajno će povećati broj radnih mjesta,2,Značajno će poboljšati,Blago poboljšati,DA
01/06/2024 20:30:23,,18-24,Žensko,Student,Srednja škola,Ni važno ni nevažno,2,3,2,4,3,4,2,Rijetko,2,Djelomično vjerujem,Niska,Djelomično vjerujem,Prilično važno,Donekle će ga promijeniti,3,Značajno će povećati broj radnih mjesta,2,Značajno će poboljšati,Blago poboljšati,DA
02/06/2024 18:27:12,,18-24,Žensko,Student,Srednja škola,Prilično važno,3,4,3,4,4,3,3,Rijetko,3,Neutralan(a),Umjerena,Neutralan(a),Prilično važno,Donekle će ga očuvati,3,Značajno će povećati broj radnih mjesta,3,Značajno će poboljšati,Značajno poboljšati,DA
